df	dm	muf	mum	nfa	nfb	nma	nmb	u	m	sexes	patch_type	fec_or_mor	critical_b	c	r_ff	r_mf	r_fm	r_mm	age
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.00118098547149895	1e-05	0.155220244380635	0.0353355260007837	0.0982796784771167	0.0187453052904748	21
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.00126191813430450	1e-05	0.154707151332640	0.0344506083518940	0.100121216076181	0.0189300992520348	22
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.00134814084620882	1e-05	0.154197083045749	0.0336456616660646	0.101862017318947	0.0191111345357227	23
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.00143999209385339	1e-05	0.153692626873792	0.0329131988169789	0.103507769753964	0.0192880129939583	24
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.00153783193889937	1e-05	0.153195938478894	0.0322464508692482	0.105063822795382	0.0194604169916475	25
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.00164204339330191	1e-05	0.152708795352080	0.0316392970860426	0.106535209410375	0.0196280992150470	26
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.00175303388209952	1e-05	0.152232644362291	0.0310862018266300	0.107926666275394	0.0197908736122581	27
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.00187123679928912	1e-05	0.151768643968038	0.0305821576513745	0.109242652520869	0.0199486073462701	28
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.00199711316271261	1e-05	0.151317701660298	0.0301226340196012	0.110487367173733	0.0201012136536932	29
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.00213115337425814	1e-05	0.150880507146301	0.0297035310268235	0.111664765397908	0.0202486455133031	30
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000612381471357937	1e-05	0.154349970417687	0.0925774039114735	0.0272382300737095	0.0163371889255542	1
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000536130701662600	1e-05	0.155889194896435	0.0863151143768879	0.0330975126717157	0.0162181357280653	2
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000479280773233089	1e-05	0.157108589769305	0.0806497760619955	0.0386165673171905	0.0161543467280787	3
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000435317504400409	1e-05	0.158050067540291	0.0755234461171931	0.0438164978832309	0.0161380156960519	4
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000400349365144616	1e-05	0.158750755179816	0.0708838711043363	0.0487169771325510	0.0161622368977955	5
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000371908254335869	1e-05	0.159243508245934	0.0666839243322732	0.0533363541121399	0.0162209087420473	6
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000348353166309802	1e-05	0.159557371464682	0.0628810990831650	0.0576917526864201	0.0163086473946945	7
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000328550476493626	1e-05	0.159717991251062	0.0594370521629980	0.0617991619963150	0.0164207093455551	8
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000311691888952651	1e-05	0.159747985096372	0.0563171927650070	0.0656735195580810	0.0165529220159521	9
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000297185522975526	1e-05	0.159667272247872	0.0534903121345894	0.0693287876492961	0.0167016215873609	10
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000284588009356842	1e-05	0.159493369657403	0.0509282499742454	0.0727780235693172	0.0168635973142044	11
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000273560644978942	1e-05	0.159241656771617	0.0486055939321069	0.0760334443072015	0.0170360416583397	12
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000263840215657042	1e-05	0.158925612373224	0.0464994088822083	0.0791064861009719	0.0172165056497688	13
