df	dm	muf	mum	nfa	nfb	nma	nmb	u	m	sexes	patch_type	fec_or_mor	critical_b	c	r_ff	r_mf	r_fm	r_mm	age
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000408346694675111	1e-05	0.0190678655768778	0.0763447589173392	0.0557808050219910	0.136421178798686	10
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000434266599115943	1e-05	0.0192450064799929	0.0805192053034884	0.0525222727571464	0.135923167597159	11
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000461822596310988	1e-05	0.0194311689834900	0.0844277092982859	0.0495627045116884	0.135322585342231	12
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000491117648950192	1e-05	0.0196238695112264	0.0880879037829412	0.0468739414642410	0.134639535429096	13
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000522261194527753	1e-05	0.0198209663854362	0.0915161884148643	0.0444305283931098	0.133891474646180	14
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000555369552443610	1e-05	0.0200206201039566	0.0947278215967407	0.0422094505720064	0.133093518951404	15
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000590566356698843	1e-05	0.0202212579170047	0.0977370051032476	0.0401898965073367	0.132258716013939	16
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000627983015794041	1e-05	0.0204215422541912	0.100556961989949	0.0383530439631966	0.131398288016576	17
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000667759201540944	1e-05	0.0206203425985354	0.103200008352947	0.0366818669736425	0.130521847853256	18
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000710043368605053	1e-05	0.0208167104456437	0.105677619457102	0.0351609617700186	0.129637591532459	19
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000754993306711314	1e-05	0.0210098570234144	0.108000490704624	0.0337763897566316	0.128752469306364	20
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000802776727566342	1e-05	0.0211991334810469	0.110178593874014	0.0325155358531305	0.127872337784646	21
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000853571888679828	1e-05	0.0213840132861536	0.112221229021477	0.0313669806886164	0.127002095057375	22
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000907568256404934	1e-05	0.0215640765957373	0.114137072402457	0.0303203852826016	0.126145800641104	23
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000964967210663386	1e-05	0.0217389963910131	0.115934220739692	0.0293663869831152	0.125306781873378	24
